Estado,Clave municipal,Municipio,  PM10,  PM2.5,  SO2,  CO,  NOX,  COV,  NH3
Baja California,02004,Tijuana," 3,221.90 "," 2,383.76 ", 691.71 ," 93,408.85 "," 28,332.03 "," 48,415.18 "," 2,057.96 "
Baja California,02005,Playas de Rosarito, 724.80 , 692.12 , 21.78 ," 7,753.84 "," 6,204.13 "," 4,972.80 ", 283.63 
Baja California Sur,03001,Comondú," 1,250.69 ", 556.74 ," 8,628.61 "," 10,469.59 "," 11,360.87 "," 2,880.31 ", 689.99 
Baja California Sur,03002,Mulegé," 2,595.34 ", 394.36 , 924.64 ," 8,139.87 "," 4,471.44 "," 2,396.89 ", 175.08 
Baja California Sur,03003,La Paz," 3,283.01 "," 1,671.84 "," 28,181.66 "," 47,416.42 "," 29,260.59 "," 11,741.26 ", 619.68 
Baja California Sur,03008,Los Cabos," 1,037.55 ", 687.32 , 182.10 ," 38,607.23 "," 11,599.44 "," 11,936.24 ", 465.12 
Baja California Sur,03009,Loreto, 320.44 , 90.92 , 19.10 ," 2,085.87 ", 861.58 , 704.37 , 64.81 
Campeche,04001,Calkiní, 880.95 , 726.98 , 55.30 ," 10,011.39 ", 879.32 ," 5,741.28 ", 438.35 
Campeche,04002,Campeche," 3,163.69 "," 2,310.16 "," 105,250.75 "," 41,100.33 "," 10,451.44 "," 16,718.58 "," 2,787.78 "
Campeche,04003,Carmen," 3,847.58 "," 3,403.83 "," 1,372.91 "," 31,025.38 "," 20,269.58 "," 9,228.67 ", 717.28 
Campeche,04004,Champotón," 3,349.87 "," 2,268.39 ", 518.86 ," 15,347.17 "," 1,893.64 "," 8,062.05 ", 850.53 
Campeche,04005,Hecelchakán, 652.27 , 528.18 , 22.00 ," 6,286.20 ", 874.28 ," 5,774.60 ", 468.00 
Campeche,04006,Hopelchén," 2,336.98 "," 1,705.62 ", 57.05 ," 10,654.08 ", 692.29 ," 7,096.79 ", 911.79 
Campeche,04007,Palizada, 391.55 , 229.23 , 54.97 ," 1,928.04 ", 462.91 ," 2,266.56 ", 257.05 
Campeche,04008,Tenabo, 273.88 , 219.35 , 8.69 ," 1,903.48 ", 342.08 ," 5,138.37 ", 153.74 
Campeche,04009,Escárcega, 707.13 , 477.44 , 31.74 ," 7,759.31 "," 1,153.06 "," 6,010.09 ", 552.14 
Campeche,04010,Calakmul, 591.74 , 337.98 , 12.25 ," 3,095.10 ", 433.60 ," 6,525.71 ", 381.44 
Campeche,04011,Candelaria, 610.67 , 359.70 , 14.88 ," 4,726.16 ", 556.30 ," 4,465.12 ", 480.79 
Chiapas,07001,Acacoyagua, 99.50 , 84.84 , 2.66 , 682.34 , 344.37 ," 7,655.99 ", 153.13 
Chiapas,07002,Acala, 178.08 , 147.46 , 5.18 ," 1,940.47 "," 1,061.39 "," 3,284.71 ", 153.33 
Chiapas,07003,Acapetahua, 223.15 , 182.59 , 10.03 ," 2,754.33 "," 1,860.25 "," 4,456.16 ", 135.56 
Chiapas,07004,Altamirano, 218.37 , 185.33 , 5.60 ," 1,786.28 ", 785.70 ," 17,642.74 ", 251.60 
Chiapas,07005,Amatán, 147.65 , 124.82 , 3.85 ," 1,139.50 ", 697.63 ," 7,424.01 ", 172.94 
Chiapas,07006,Amatenango de la Frontera, 195.02 , 172.46 , 5.51 ," 1,864.06 ", 332.68 ," 1,499.63 ", 298.63 
Chiapas,07007,Amatenango del Valle, 85.96 , 74.80 , 2.07 , 583.20 , 291.24 ," 1,145.93 ", 60.38 
Chiapas,07008,Ángel Albino Corzo, 217.52 , 174.23 , 5.99 ," 2,400.55 ", 860.15 ," 11,816.84 ", 457.84 
Chiapas,07009,Arriaga, 242.26 , 190.26 , 12.19 ," 4,799.76 "," 1,971.87 "," 9,125.95 ", 192.00 
Chiapas,07010,Bejucal de Ocampo, 51.28 , 43.66 , 1.33 , 406.00 , 77.91 , 238.62 , 35.69 
Chiapas,07011,Bella Vista, 148.89 , 125.80 , 3.80 ," 1,219.28 ", 688.80 ," 3,726.65 ", 256.78 
Chiapas,07012,Berriozábal, 139.72 , 117.68 , 5.06 ," 2,364.59 "," 1,085.22 "," 8,248.06 ", 452.74 
Chiapas,07013,Bochil, 194.94 , 163.11 , 5.39 ," 1,877.86 ", 632.01 ," 4,857.65 ", 141.73 
Chiapas,07014,El Bosque, 152.50 , 126.12 , 3.80 ," 1,272.75 ", 313.83 ," 7,622.78 ", 278.61 
Chiapas,07015,Cacahoatán, 186.77 , 168.81 , 6.09 ," 2,544.68 ", 741.35 ," 5,341.93 ", 416.00 
Chiapas,07016,Catazajá, 189.10 , 136.46 , 4.48 ," 1,388.37 "," 1,403.10 "," 4,427.48 ", 190.78 
Chiapas,07017,Cintalapa, 655.09 , 530.90 , 27.33 ," 4,376.28 "," 2,756.76 "," 29,048.82 ", 371.24 
Chiapas,07018,Coapilla, 68.43 , 57.57 , 1.74 , 496.83 , 203.03 ," 3,673.38 ", 62.80 
Chiapas,07019,Comitán de Domínguez," 1,143.04 ", 997.54 , 28.06 ," 12,386.38 "," 3,472.68 "," 8,236.29 ", 517.24 
Chiapas,07020,La Concordia, 843.93 , 672.84 , 45.83 ," 7,513.69 "," 3,003.59 "," 25,544.12 ", 964.70 
Chiapas,07021,Copainalá, 120.79 , 102.52 , 4.04 ," 1,717.87 ", 661.29 ," 4,800.74 ", 123.69 
Chiapas,07022,Chalchihuitán, 129.64 , 109.54 , 3.25 , 932.73 , 179.55 ," 5,806.93 ", 188.87 
Chiapas,07023,Chamula, 559.83 , 504.48 , 17.97 ," 5,534.26 "," 1,185.07 "," 7,746.36 ", 490.40 
Chiapas,07024,Chanal, 76.52 , 65.30 , 2.00 , 515.56 , 205.04 , 685.70 , 79.53 
Chiapas,07025,Chapultenango, 43.96 , 36.76 , 1.09 , 358.43 , 264.50 ," 3,791.30 ", 63.54 
Chiapas,07026,Chenalhó, 220.72 , 194.21 , 5.84 ," 1,927.67 ", 595.33 ," 5,272.66 ", 313.39 
Chiapas,07027,Chiapa de Corzo, 471.88 , 380.89 , 72.15 ," 6,363.88 "," 2,330.78 "," 6,611.08 ", 280.64 
Chiapas,07028,Chiapilla, 53.03 , 45.22 , 1.43 , 415.83 , 152.50 , 387.43 , 34.52 
Chiapas,07029,Chicoasén, 20.61 , 16.81 , 0.58 , 179.25 , 82.70 ," 1,039.77 ", 26.06 
Chiapas,07030,Chicomuselo, 295.75 , 256.27 , 8.94 ," 2,739.74 "," 1,438.17 "," 8,857.51 ", 521.00 
Chiapas,07031,Chilón, 799.61 , 669.06 , 19.93 ," 5,969.48 "," 1,783.56 "," 48,375.07 "," 1,129.29 "
Chiapas,07032,Escuintla, 163.67 , 137.92 , 4.93 ," 1,876.84 ", 814.56 ," 9,748.03 ", 461.61 
Chiapas,07033,Francisco León, 50.13 , 40.54 , 1.19 , 343.44 , 437.99 ," 4,668.22 ", 58.14 
Chiapas,07034,Frontera Comalapa, 535.23 , 446.27 , 16.09 ," 5,737.02 "," 2,284.25 "," 6,686.19 ", 582.11 
